p_pmc,s0,gamma,merges,final_num_clusters,largest_cluster
0.005,0.1,0.5,7,93,4
0.005,0.1,1,3,97,4
0.005,0.2,0.5,7,93,6
0.005,0.2,1,2,98,4
0.005,0.3,0.5,6,94,4
0.005,0.3,1,7,93,4
0.01,0.1,0.5,14,86,6
0.01,0.1,1,14,86,4
0.01,0.2,0.5,10,90,4
0.01,0.2,1,6,94,4
0.01,0.3,0.5,15,85,6
0.01,0.3,1,10,90,4
0.02,0.1,0.5,27,73,10
0.02,0.1,1,24,76,8
0.02,0.2,0.5,19,81,6
0.02,0.2,1,19,81,4
0.02,0.3,0.5,14,86,6
0.02,0.3,1,20,80,8
0.05,0.1,0.5,48,52,14
0.05,0.1,1,58,42,18
0.05,0.2,0.5,52,48,12
0.05,0.2,1,43,57,10
0.05,0.3,0.5,46,54,8
0.05,0.3,1,46,54,14
